Symbol,Date,Close,High,Low,Open,Volume
GOOGL,2012-10-18,347.8367,380.0679,338.3275,378.116,12442346
GOOGL,2012-10-19,341.2303,353.6924,336.3256,353.292,11483427
GOOGL,2012-10-22,339.6788,342.6317,335.1744,340.8299,4057872
GOOGL,2012-10-23,340.5296,343.983,336.3256,336.3256,2916977
GOOGL,2012-10-24,338.9781,343.8328,337.9772,343.7327,2496411
GOOGL,2012-10-25,339.2284,341.3304,337.0763,340.3294,2403696
GOOGL,2012-10-26,337.8771,341.8309,335.9252,338.5777,1950865
GOOGL,2012-10-29,337.8771,337.8771,337.8771,337.8771,0
GOOGL,2012-10-30,337.8771,337.8771,337.8771,337.8771,0
GOOGL,2012-10-31,340.4796,340.8299,337.827,340.2794,1537000
GOOGL,2012-11-01,344.1331,345.7847,339.6788,340.0792,2050471
GOOGL,2012-11-02,344.2833,348.137,344.033,347.6365,2324569
GOOGL,2012-11-05,341.8309,343.7828,338.1273,342.5816,1635894
GOOGL,2012-11-06,341.1803,343.5826,339.0782,343.0821,1582936
GOOGL,2012-11-07,333.8732,339.4286,333.5729,337.827,2232438
GOOGL,2012-11-08,326.466,336.0753,325.9155,335.4247,2598676
GOOGL,2012-11-09,331.8212,334.4738,325.4651,327.6171,3114084
GOOGL,2012-11-12,333.2726,335.2245,330.7702,332.2216,1405869
GOOGL,2012-11-13,329.8693,334.1234,329.4189,331.8212,1594638
GOOGL,2012-11-14,326.5661,331.4208,325.5651,330.6701,1668321
GOOGL,2012-11-15,323.9636,330.3197,322.2619,325.415,1848938
GOOGL,2012-11-16,323.9135,326.8164,318.3081,323.313,3438500
GOOGL,2012-11-19,334.4237,334.7741,328.0676,328.2177,2369715
GOOGL,2012-11-20,335.3246,339.3285,332.622,335.3246,2089085
GOOGL,2012-11-21,333.2726,335.2245,330.5199,334.8241,2113010
GOOGL,2012-11-22,333.2726,333.2726,333.2726,333.2726,0
GOOGL,2012-11-23,334.3236,335.3246,333.3727,335.3246,922476
GOOGL,2012-11-26,330.9203,333.8231,329.8193,333.5229,2205526
